"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"elevation dispersion",0.143798001573912,0.0138148751916476,0.0631760839823286,0.99413188,1
"taxonomy",0.355750209708781,-0.0848921283577795,0.141290387835534,0,2
"activity pattern",0.167252592963266,0.0204261161947999,0.0752404912671854,1,3
"habitat use",0.11284015514796,0.00125769040763306,0.0450040240216611,0.56065512,4
"SVL",0.177361117863011,0.0244898425737082,0.0802801319185853,1,5
"generation time",0.117596449033636,0.00332794085039589,0.0490573232205079,0.60388092,6
"arid spiny bush",0.114215153323868,-0.00322136157219258,0.0463537379175379,0.24729754,7
"evergreen rainforest",0.129602185454448,0.00959763593151829,0.0546591959026185,1,8
"central highland",0.142879731939996,-0.0132585641147346,0.0594389386666156,0,9
"Sambirano rainforest",0.174357567226388,0.0228887235583502,0.0746946708192583,1,10
"dry deciuous",0.137536244187404,0.0105935424424874,0.0626181229878247,0.77540732,11
"(Intercept)",1,0.0317751331842992,NA,NA,0
