"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"taxonomy",0.355750209708781,-0.0924530120587432,0.153874360120764,0,2
"SVL",0.177361117863011,0.00783466653943394,0.0256828136575745,1,5
"Sambirano rainforest",0.174357567226388,0.0399726047407636,0.130445917846319,1,10
"activity pattern",0.167252592963266,0.0225720348755203,0.0831450764666931,1,3
"elevation dispersion",0.143798001573912,4.22514390534057e-05,0.000193217848513465,0.99413188,1
"central highland",0.142879731939996,-0.0143571562220857,0.0643639930181576,0,9
"dry deciuous",0.137536244187404,0.0126092538087043,0.0745329345745041,0.77540732,11
"evergreen rainforest",0.129602185454448,0.0111104635309645,0.0632748529993278,1,8
"generation time",0.117596449033636,0.00206891813122734,0.030498013649586,0.60388092,6
"arid spiny bush",0.114215153323868,-0.00562574896429131,0.0809516371374377,0.24729754,7
"habitat use",0.11284015514796,0.00137498437479351,0.0492011622709854,0.56065512,4
