"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"taxonomy",0.527307424083911,-0.195481814405975,0.232598401405763,0,2
"activity pattern",0.393318389216145,-0.122856841064006,0.189992906149447,0,3
"central highland",0.172988881651075,-0.0225347158885665,0.0749552032852497,0,9
"evergreen rainforest",0.159197694999821,0.0203943358529061,0.0743048072194602,1,8
"habitat use",0.15051743386553,0.0142251096214512,0.0674471949240283,0.87279395,4
"elevation dispersion",0.146438668437132,4.27122505625712e-05,0.000187011775516763,0.99732345,1
"Sambirano rainforest",0.144853533641228,-0.022662798183284,0.103767135059049,0.01180064,10
"SVL",0.137464897209764,-0.00293241236512782,0.0196091179124803,0.3089271,5
"dry deciuous",0.127811185246499,-0.00232910833541959,0.0666594766606958,0.45473134,11
"generation time",0.118003606201016,0.000876801991666289,0.0290304535517813,0.53318193,6
"arid spiny bush",0.113323425987885,0.000615995046560454,0.0752090020335347,0.50726007,7
