"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"taxonomy",0.774546928666515,0.430038694900569,0.30043807792793,1,2
"SVL",0.73157752875228,0.105402661380336,0.0805250880453691,1,5
"dry deciuous",0.475645571144427,0.201085950116906,0.259435694896078,1,11
"elevation dispersion",0.345656886418206,-0.000279916194803261,0.000480889248534739,0,1
"habitat use",0.283968996712727,-0.0736596971292511,0.151264417331224,0,4
"arid spiny bush",0.164702442110853,0.0391079059625781,0.139289573526684,0.9955248,7
"central highland",0.156745529448085,0.0209042453001957,0.0846085510724838,1,9
"generation time",0.152703197118866,0.0111931242198021,0.0491008179043674,0.92527973,6
"activity pattern",0.151891482785959,0.00730542222902755,0.0921326170552827,0.69540375,3
"evergreen rainforest",0.130207847384477,-0.00950357142302441,0.0707254645832996,0.1918914,8
"Sambirano rainforest",0.12102844585741,0.0037233982733922,0.0989559307697242,0.5383016,10
