"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"elevation dispersion",0.867419841759225,-0.000633177076722732,0.000347568289821107,0,1
"central highland",0.730971312345235,0.146094261559657,0.111708197676258,1,9
"activity pattern",0.488655517338112,0.090698107724162,0.114646011247736,0.99998066,3
"Sambirano rainforest",0.468203367587792,0.128614485105946,0.167579853809137,0.99991532,10
"habitat use",0.351737780361655,-0.0521790796407378,0.0885431543556866,0,4
"taxonomy",0.221196445798067,0.031515286084201,0.0883855410449204,0.92547917,2
"evergreen rainforest",0.165060368047135,-0.013794581394356,0.0500509199836822,0.00615495,8
"SVL",0.15239061734269,-0.00312733405308185,0.0133668052767968,0.04705354,5
"dry deciuous",0.141109265099182,-0.00922699198343799,0.049305495390258,0.12142658,11
"arid spiny bush",0.128039656508345,0.00246893137738391,0.0576412795332411,0.56702163,7
"generation time",0.123356542402352,0.00158601456782041,0.0186184729132102,0.71803703,6
