"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"elevation dispersion",0.134834656724835,0.0113276307101601,0.0579431221738369,0.99986608,1
"taxonomy",0.862065619003157,-0.363095596492004,0.19327985875032,0,2
"activity pattern",0.204718966933338,0.0369597247068846,0.103960664047455,1,3
"habitat use",0.125122554430863,0.00637616379062824,0.0501605602855514,0.89278283,4
"SVL",0.119770614591918,0.00156383468256478,0.0532098645806808,0.38651015,5
"generation time",0.155356261412958,-0.0166566424216454,0.064791739920879,0.03669029,6
"arid spiny bush",0.114565456415984,0.00276657149345772,0.0433182252932615,0.82055585,7
"evergreen rainforest",0.112499085675884,0.00101338858317392,0.0423849844022055,0.74703542,8
"central highland",0.161326387583729,-0.0183684480350383,0.066610479717984,0,9
"Sambirano rainforest",0.131912066302539,-0.00949026807424851,0.0527483802670549,0.0830797,10
"dry deciuous",0.217811926534009,0.0408448790023318,0.106495211849895,1,11
"(Intercept)",1,0.323023957911168,NA,NA,0
