EXP_rej_stand,species.ID,TD_stand,R2_stand,Pi_stand,h_stand,gen_time_stand,elevation.index,is_amphibian,is_diurnal,SVL,is_arboreal,is_aridspinybush,is_evergreenrainforest,is_centralhighland,is_sambirano,is_drydeciuous
-0.933014414,Heterixalus_alboguttatus_10,-0.339,0.196,0.071,-0.066,-0.311768754,4.24,1,0,-0.8571429,1,0,1,0,0,0
-0.853758196,Leioheterodon_modestus_6,0.153,0.038,1.903,0.364,1.064693737,276,0,1,4.71428571,0,1,0,0,0,1
-0.774099661,Zonosaurus_madagascariensis_1,0.662,0.896,2.418,0.845,0.376462491,362,0,1,-0.3333333,0,0,1,0,0,1
-0.702286285,Heterixalus_alboguttatus_3,-0.003,-0.312,0.354,0.702,-0.311768754,418,1,0,-0.8571429,1,0,1,0,0,0
-0.518629109,Geckolepis_maculata_1,0.14,-0.086,2.076,0.497,-0.311768754,553,0,0,-0.6666667,1,0,1,0,1,1
-0.428711521,Dromicodryas_quadrilineatus_3,0.63,0.331,0.647,-0.002,1.064693737,266,0,1,4.71428571,0,0,1,1,0,1
-0.403164465,Dromicodryas_bernieri_1,0.584,-0.255,0.204,0.435,1.064693737,529,0,1,4.28571429,0,1,1,1,0,1
-0.330747616,Calumma_nasutum_6,-0.816,0.647,2.005,0.685,-0.311768754,10,0,1,-0.7714286,1,0,1,0,0,0
-0.293935717,Phelsuma_lineata_south,-0.661,0.016,0.759,-0.04,-0.311768754,450,0,1,-0.7428571,1,0,1,0,0,0
-0.2744234,Phelsuma_lineata_north,-0.521,-0.346,1.556,0.24,-0.311768754,294,0,1,-0.7428571,1,0,1,0,0,0
-0.25511224,Furcifer_pardalis_14,-0.324,-0.109,-1,-1,-0.311768754,362,0,1,0.19047619,1,0,1,0,0,1
-0.245054344,Aglyptodactylus_madagascariensis_8,-2.064,1.584,-0.603,-0.044,-0.311768754,363,1,0,-0.8047619,0,0,1,1,0,0
-0.185913917,Furcifer_oustaleti_2,-0.792,0.489,0.024,-0.737,-0.311768754,98.7,0,1,0.35238095,1,0,0,0,0,1
-0.168614336,Mantidactylus_melanopleura_a147,0.74,-0.808,-0.953,-0.886,-0.311768754,38.5,1,1,-0.8095238,0,0,1,0,0,0
