# BEAST v1.8.2, r6687
# Generated Thu May 30 13:08:40 EDT 2019 [seed=1559236119975]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
0	-188727.67732006728	-2713.883135082283	-186013.794184985	142.14455731465932	1400000.0	1400000.0	1400000.0	1400000.0	1400000.0	21.0	21.0	21.0	21.0	21.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0E-8	-186013.794184985	-1485.9653145783589
5000	-40164.36933787499	-3284.2863960199893	-36880.082941855	1.9058306988003347E7	5.6639400858856715E7	1.475026575675462E8	1.37584202981863E8	1.0419431975857905E8	3.1949732021170404E7	2.0	24.0	2.0	41.0	36.0	2.6366567145746376	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0E-8	-36880.082941855	-2034.5657080983756
10000	-29469.233601114116	-3240.434772988698	-26228.79882812542	1.3616714313142672E7	4.545995458153059E7	1.1575236696677801E8	8.787149161866456E7	1.1055774485203508E8	3.3485194108343944E7	13.0	7.0	9.0	39.0	37.0	2.7893015859241967	0.24961509743511343	0.2534632288846183	0.2378755473327086	0.25904612634755964	1.0E-8	-26228.79882812542	-1991.463624346721
15000	-24305.476604079093	-3200.123613677986	-21105.352990401105	1.286160850041391E7	3.0944047899476036E7	4.191218669139078E7	9.437906010078947E7	6.54703676704811E7	2.896385117979956E7	33.0	3.0	16.0	29.0	24.0	4.942359971350549	0.24961509743511343	0.25616500382719143	0.23151303338881282	0.2627068653488823	1.0E-8	-21105.352990401105	-1952.8279898321043
20000	-20990.23355233798	-3154.320610218544	-17835.912942119438	1.2911478281893387E7	1.8781638602904357E7	3.202931226356885E7	5.7372050490709655E7	5.103234514823412E7	1.9647980534509923E7	27.0	9.0	4.0	46.0	19.0	6.420749295936748	0.24322728323082207	0.2472783626347538	0.2297566663927106	0.2797376877417135	1.0E-8	-17835.912942119438	-1908.6269532552508
25000	-19221.470203770354	-3121.5278634155047	-16099.942340354848	1.3504372145099916E7	1.6391441960521676E7	9503519.579170497	8490222.02306352	3.1366142939814392E7	2.2487773203891564E7	26.0	12.0	8.0	45.0	14.0	6.285248075708888	0.2575372552823675	0.245265368527402	0.2250402298292733	0.27215714636095717	1.0E-8	-16099.942340354848	-1878.6383328485715
30000	-19102.383818765615	-3095.315988655637	-16007.06783010998	1.3306901783228235E7	1.4611732711165523E7	4046858.075684677	1.884876004218041E7	3.275479261334213E7	6286881.624304211	22.0	14.0	5.0	58.0	6.0	6.446856801632408	0.25100299910455864	0.24582279933021492	0.2250402298292733	0.27813397173595306	1.0E-8	-16007.06783010998	-1851.6501797046826
35000	-19051.136162811054	-3094.1183712026327	-15957.01779160842	1.4233205085941898E7	1.220215147516695E7	7210646.00951015	9089624.362038635	2.8365969176368285E7	4133777.1545880865	9.0	11.0	27.0	53.0	5.0	6.540284523380744	0.25377043443872105	0.240940160504918	0.21433057817727888	0.2909588268790819	1.0E-8	-15957.01779160842	-1852.8324862383738
40000	-19047.041850453996	-3091.5607962833606	-15955.481054170634	1.3360856537403204E7	9729836.264223618	7079110.517657733	1.0576702237278065E7	2.783117257322245E7	5029982.171740041	3.0	19.0	26.0	52.0	5.0	6.705428898092493	0.2489035265753332	0.2478163683047973	0.209754837127154	0.29352526799271533	1.0E-8	-15955.481054170634	-1850.6587242075277
45000	-19018.550941771682	-3087.374948961864	-15931.17599280982	1.4439316053904919E7	1.7849737717793442E7	5726240.571946114	1.0135880156944826E7	3.2184384784492448E7	4646283.425411386	7.0	22.0	21.0	47.0	8.0	6.737178394335972	0.2590042753214906	0.23892733943857533	0.20224651148823006	0.2998218737517039	1.0E-8	-15931.17599280982	-1844.9843710794623
50000	-19003.554619194394	-3089.7279869589784	-15913.826632235416	1.4774021742523303E7	1.249024307499345E7	3936888.5914708837	1.1198024371073704E7	2.848166978966928E7	7622551.711833083	7.0	12.0	24.0	55.0	7.0	6.456399288556768	0.26326868731034136	0.2337815706041272	0.19868739461314885	0.30426234747238246	1.0E-8	-15913.826632235416	-1847.9553112518174
55000	-18992.841793446365	-3103.1483705009573	-15889.69342294541	1.4868720326780505E7	1.608203341109585E7	5237028.327665309	8469607.364605451	2.744939314286352E7	2.7882253818038315E7	11.0	2.0	33.0	40.0	19.0	6.73451780306047	0.2710806944730853	0.2337815706041272	0.19008747582081406	0.30505025910197336	1.0E-8	-15889.69342294541	-1860.6059672718006
60000	-18967.796314354968	-3090.134564222647	-15877.66175013232	1.5215866565923689E7	7669260.072545174	5450523.919484708	8723308.54949694	3.1247605616431374E7	4.2808184950917274E7	16.0	15.0	16.0	39.0	19.0	6.650748649555522	0.2656299359700547	0.24951856251147114	0.18881977389569776	0.2960317276227763	1.0E-8	-15877.66175013232	-1847.830187534666
