# BEAST v1.8.2, r6687
# Generated Tue Jan 15 13:22:39 EST 2019 [seed=1547576558768]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
0	-12384.379729865555	-1553.4151455363933	-10830.964584329162	187.82667722021608	1400000.0	1400000.0	1400000.0	1400000.0	1400000.0	5.0	5.0	5.0	4.0	4.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0E-8	-10830.964584329162	-325.49732503246884
5000	-3905.815153723335	-1561.293994607097	-2344.521159116238	3535829.9990997184	640121.9512813921	1433577.4315424685	824178.2150194859	1268020.8303177354	1735700.25099858	4.0	1.0	14.0	1.0	3.0	2.5822796982952454	0.2497545378943767	0.24655260718468747	0.24819715745585874	0.2554956974650771	1.0E-8	-2344.521159116238	-333.59842700053554
10000	-3901.937930174533	-1571.9282152142607	-2330.0097149602725	3299859.8269339483	1197096.1953885849	1250766.5436523445	1133139.6414580313	1268327.5062176618	1018533.847444538	1.0	13.0	1.0	5.0	3.0	4.046064021797864	0.2487430399454237	0.2481912587915639	0.24438421129954732	0.2586814899634651	1.0E-8	-2330.0097149602725	-344.1482730959483
15000	-3872.0591284589277	-1565.8957357564655	-2306.1633927024623	3357852.8991404576	5261215.721681548	1629656.3649956833	1456589.1332647025	447234.31565931276	469030.82202758297	1.0	1.0	3.0	3.0	15.0	15.360707026957177	0.25135634566661	0.24824434288478917	0.23499305689795008	0.26540625455065076	1.0E-8	-2306.1633927024623	-334.7521583928669
20000	-3861.3784126968812	-1569.57034679339	-2291.8080659034913	3329961.904908867	1051443.6426477234	750887.9893828515	1541643.5052300724	638239.9789690528	902151.0412564332	2.0	4.0	6.0	2.0	9.0	23.77001420379139	0.25612509320798665	0.261065604674659	0.22759811431551366	0.25521118780184066	1.0E-8	-2291.8080659034913	-338.99270043079366
25000	-3856.2625032372025	-1566.8532363170632	-2289.4092669201395	2904659.713670603	813588.1058962491	1707243.2847498776	769599.8379792979	679812.9130422043	863362.7797927116	4.0	8.0	2.0	5.0	4.0	14.240853512899951	0.2651710976647637	0.26930761887845217	0.21529944533526826	0.2502218381215159	1.0E-8	-2289.4092669201395	-337.6302843240327
30000	-3861.512677994612	-1572.6650877916113	-2288.847590203001	3984514.2421479663	554992.991173666	574651.7983247263	1488200.000600317	1602084.7688835734	1027077.6130360393	7.0	9.0	2.0	3.0	2.0	21.64672765146842	0.2651710976647637	0.26930761887845217	0.21529944533526826	0.2502218381215159	1.0E-8	-2288.847590203001	-342.2203858329124
35000	-3855.4106810814546	-1568.0939850712264	-2287.316696010228	3282373.148289377	807839.3359296883	1026145.4888793172	618875.8738579161	1144454.691861338	905962.2033071063	2.0	12.0	1.0	1.0	7.0	17.384874497339364	0.26933131678882966	0.2720653249640734	0.2111392262112023	0.24746413203589468	1.0E-8	-2287.316696010228	-338.856059103413
40000	-3858.2650144101563	-1570.5088528093947	-2287.7561616007615	4598615.05354028	3055436.93037757	805412.1441691103	1161114.6794427622	548680.8819643173	887980.5144115607	1.0	13.0	4.0	2.0	3.0	15.358258660914304	0.262562418779632	0.2720653249640734	0.21790812422039996	0.24746413203589468	1.0E-8	-2287.7561616007615	-339.9426940649917
45000	-3851.455730934511	-1560.3375524595583	-2291.1181784749524	3068762.7481117873	629807.0684293174	401275.3060007239	391906.2927798879	1362793.919922172	879635.0386436469	1.0	7.0	8.0	2.0	5.0	14.689911780828385	0.27009029131918505	0.2720653249640734	0.21062282284878014	0.24722156086796143	1.0E-8	-2291.1181784749524	-331.9557100362285
50000	-3864.984073705707	-1581.1949850721348	-2283.789088633572	3632447.9501466076	3415124.6806503185	1666783.1891465862	2351872.885712591	1745863.1963805105	1591006.9007380153	1.0	5.0	3.0	3.0	11.0	16.716139919677357	0.26084436143327094	0.2720653249640734	0.21062282284878014	0.25646749075387554	1.0E-8	-2283.789088633572	-347.8781806496559
55000	-3857.3241437291967	-1576.2658563038594	-2281.0582874253373	3899002.683463614	2952919.3788626995	752409.2651010094	1639216.97333866	2439793.938762256	1317200.3691493424	4.0	4.0	9.0	3.0	3.0	17.96275447201111	0.26084436143327094	0.26449133371718436	0.20434546473283197	0.2703188401167127	1.0E-8	-2281.0582874253373	-342.9954137801914
