# BEAST v1.8.2, r6687
# Generated Tue Jan 15 13:40:13 EST 2019 [seed=1547577613245]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
0	-3893.7435820982196	-1454.350502962749	-2439.3930791354705	200.63609183684468	1400000.0	1400000.0	1400000.0	1400000.0	1400000.0	4.0	3.0	3.0	3.0	3.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0E-8	-2439.3930791354705	-226.4326824588246
5000	-3327.7248650861175	-1447.1103464037233	-1880.6145186823942	634001.2395927726	1133663.4067700082	982726.6201554245	484073.392783666	158264.74767544115	150611.23697789587	1.0	4.0	8.0	1.0	2.0	3.2154331616498424	0.25050914159580934	0.25455972709148017	0.24022112914858718	0.2547100021641234	1.0E-8	-1880.6145186823942	-224.11866974680729
10000	-3310.5906586449782	-1438.9153436098986	-1871.6753150350794	447775.0800963707	143468.98782866812	1116420.8554198726	672836.0444335146	360269.6642666311	527260.4199152847	10.0	2.0	2.0	1.0	1.0	4.836101123921636	0.25050914159580934	0.24808767974732782	0.24022112914858718	0.2611820495082757	1.0E-8	-1871.6753150350794	-210.52789005670908
15000	-3308.3482983049444	-1442.2348737851498	-1866.1134245197948	396348.6270384992	614293.8263029815	178144.23155318576	289726.24711004953	241144.60140906973	669203.8208679757	7.0	1.0	4.0	2.0	2.0	6.012264943212775	0.2577821990505214	0.25205745362940485	0.22860326096647304	0.26155708635360075	1.0E-8	-1866.1134245197948	-218.564365912021
20000	-3313.5634738268836	-1448.4391256387298	-1865.1243481881536	729207.1277173455	973189.4534670201	394016.1781898892	209779.5851220848	596683.1664020349	973221.8511482676	6.0	4.0	3.0	1.0	2.0	3.9477352706187	0.2577821990505214	0.25959074293319206	0.22102248578094905	0.26160457223533756	1.0E-8	-1865.1243481881536	-223.16035882721832
25000	-3293.5221772426694	-1431.7916577900164	-1861.730519452653	618803.0090113113	71603.92795208692	95651.40154660783	255520.54317663287	300170.42663876317	459286.83633379854	5.0	1.0	7.0	2.0	1.0	5.945443408793882	0.2594917415003704	0.26263541850265026	0.22102248578094905	0.25685035421603036	1.0E-8	-1861.730519452653	-211.77692299332153
30000	-3288.4917404781663	-1433.478794460813	-1855.0129460173532	467518.30082608666	103945.78505855905	300691.8982641829	263435.87451730063	167183.61005801638	236859.8781090707	4.0	1.0	3.0	7.0	1.0	6.194426873116824	0.272443661994124	0.26263541850265026	0.20807056528719542	0.25685035421603036	1.0E-8	-1855.0129460173532	-212.95765642909785
35000	-3295.4845934085774	-1443.0316700365413	-1852.4529233720361	492828.0665573365	580214.6917188826	180242.95346632003	269451.60814304295	62265.588564711936	271163.65565348644	7.0	5.0	1.0	1.0	2.0	7.78579184998893	0.2587769133473601	0.26686906956226236	0.19998818680575875	0.27436583028461886	1.0E-8	-1852.4529233720361	-219.61109803773047
40000	-3290.24930493602	-1438.8788952788796	-1851.3704096571403	422300.0503595038	273792.80350244255	270804.07691202284	241026.34012809533	329686.20884512377	15236.568254372629	4.0	4.0	2.0	5.0	1.0	4.6945382520694645	0.2629700124577003	0.26267597045192215	0.19723007838438536	0.2771239387059922	1.0E-8	-1851.3704096571403	-218.86118531189973
45000	-3284.655836349304	-1435.9102060456266	-1848.7456303036777	611966.629037105	110320.19791289952	165427.9264163625	440637.2035669326	661807.6441046173	357202.36267133796	4.0	3.0	2.0	4.0	3.0	4.422171395789108	0.2529488608625109	0.28309407776335227	0.19436639251530952	0.2695906688588274	1.0E-8	-1848.7456303036777	-214.07106833599988
