# BEAST v1.8.2, r6687
# Generated Tue Jan 15 13:51:00 EST 2019 [seed=1547578259636]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
0	-8665.331531253125	-1624.1753201397703	-7041.156211113355	296.5101696489092	1400000.0	1400000.0	1400000.0	1400000.0	1400000.0	6.0	6.0	6.0	5.0	5.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0E-8	-7041.156211113355	-396.25749963584565
5000	-4026.65642971727	-1650.9792103402772	-2375.6772193769925	1949371.0592595981	1589331.2870173252	924949.1995921972	2501326.839298816	1028043.7586476955	1110851.6822761875	10.0	6.0	3.0	5.0	4.0	2.8066003484268394	0.25293092611924034	0.2595674932799211	0.2239232750463845	0.26357830555445405	1.0E-8	-2375.6772193769925	-421.86383074971644
10000	-3992.480272355892	-1642.6590686628151	-2349.8212036930768	2305843.6799379	242057.12753056912	1335567.9151757192	433162.92924576503	895331.1975752049	1415542.970822728	2.0	3.0	8.0	11.0	4.0	6.483761140846188	0.25556253155513453	0.2595674932799211	0.2235101625324364	0.26135981263250796	1.0E-8	-2349.8212036930768	-413.04088630118815
15000	-4006.528065650613	-1646.514702645703	-2360.01336300491	2459288.7461629272	471479.89612742193	864439.6315880846	1409756.2735588758	676664.7150803269	1039275.8472656548	2.0	4.0	11.0	4.0	7.0	8.425121175688616	0.25556253155513453	0.2615383767643504	0.22238851918411215	0.26051057249640297	1.0E-8	-2360.01336300491	-418.6782483346896
20000	-3997.5792189591825	-1649.8608513084455	-2347.718367650737	1871661.6900784539	1805287.0042683978	1824786.4946564229	773703.327985422	1702492.2867889572	2006491.6810298576	4.0	8.0	12.0	2.0	2.0	8.308390876514432	0.26141271205347055	0.2516804788893158	0.22238851918411215	0.26451828987310155	1.0E-8	-2347.718367650737	-418.95971953304917
25000	-3972.130932183997	-1631.0664792692494	-2341.064452914748	2076607.8945756764	814185.7194857209	267605.95198977896	316012.91787897475	1108843.0857105597	1123906.8307463296	6.0	6.0	4.0	6.0	6.0	22.48377725195683	0.25830771100548017	0.2604552845831278	0.2132580716311061	0.267978932780286	1.0E-8	-2341.064452914748	-401.7590775549758
30000	-3994.3012354720427	-1660.497154664126	-2333.8040808079168	2428084.595207258	2191293.069486461	557676.1434349864	1657874.8957621618	2966510.839608687	1325592.4733761402	5.0	9.0	4.0	6.0	4.0	23.700720474693775	0.2527439789358216	0.2650998192343617	0.19271302030149504	0.2894431815283217	1.0E-8	-2333.8040808079168	-426.27740406415074
35000	-3983.0445266843844	-1648.7581927924812	-2334.2863338919033	2164227.264156565	1488060.2996616408	1472905.5184705008	680101.5717879864	717110.774098987	1981651.022415814	11.0	6.0	6.0	1.0	4.0	36.58129227759354	0.2668961436225575	0.2561941516441351	0.18292354884778964	0.29398615588551785	1.0E-8	-2334.2863338919033	-415.75054260838823
40000	-3978.1441221011146	-1647.958042753602	-2330.1860793475125	2040222.4591213653	2318003.3830470745	664974.4335228476	1839110.3066841979	776268.2535186876	573734.6022413638	1.0	9.0	1.0	15.0	2.0	24.690106169450488	0.25798935015045954	0.2820767775763414	0.17345075348962866	0.28648311878357047	1.0E-8	-2330.1860793475125	-415.8384585098113
45000	-3987.9998749139836	-1658.686324482274	-2329.3135504317097	2204471.5701474375	1880295.7847399085	146058.06476052504	786423.6226774028	2597049.862059385	3078826.403241211	7.0	2.0	1.0	16.0	2.0	23.4082489641863	0.2594557868565267	0.2780469120686271	0.16491802796254582	0.2975792731123005	1.0E-8	-2329.3135504317097	-422.5345141578058
50000	-3980.0397763469414	-1648.1886713061967	-2331.8511050407446	1635153.5903913984	1603364.0981985237	1056362.1443859497	441537.67999109556	1037605.9154371882	1401826.0403044433	1.0	2.0	6.0	14.0	5.0	33.14965431987023	0.2594557868565267	0.2780469120686271	0.1633922691981587	0.29910503187668763	1.0E-8	-2331.8511050407446	-416.17751950326704
55000	-3967.347863683946	-1638.2219450994762	-2329.1259185844697	2310752.3107313486	350879.13185687695	290899.3690097373	974374.3686067099	591013.9783814544	1024768.7285826438	2.0	2.0	2.0	14.0	8.0	25.41257925791207	0.2594557868565267	0.29219680118881997	0.1562291305596023	0.29211828139505125	1.0E-8	-2329.1259185844697	-409.2379220103395
60000	-3971.876375088721	-1648.8511927171382	-2323.025182371583	2218573.5195422694	876383.1582421296	359863.30180682614	221276.4780596703	915296.6684836365	1732768.5606960773	2.0	1.0	1.0	20.0	4.0	21.89594641897595	0.26564044107620793	0.2781911308699809	0.15153314989831404	0.3046352781554974	1.0E-8	-2323.025182371583	-418.6875696887392
