# BEAST v1.8.2, r6687
# Generated Thu Jan 17 13:45:37 EST 2019 [seed=1547750737201]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
0	-3802.9390470383987	-1468.502647236733	-2334.4363998016656	186.49887913613873	1400000.0	1400000.0	1400000.0	1400000.0	1400000.0	4.0	4.0	3.0	3.0	3.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0E-8	-2334.4363998016656	-240.58482673280858
5000	-3285.4172094340643	-1459.2992518336969	-1826.1179576003674	537315.9070973548	368358.2670133267	297887.8584508318	298588.3823714857	648839.9953979825	390304.3810407782	3.0	1.0	1.0	9.0	3.0	1.9785188278367571	0.24183570560077738	0.24597437842938316	0.24553601718435195	0.26665389878548745	1.0E-8	-1826.1179576003674	-237.33651937598623
10000	-3289.4413969415637	-1462.9378785000629	-1826.503518441501	262554.4218299119	3520446.6689830762	430103.76530038385	846104.3234879185	958861.6280576013	57363.33037928648	1.0	3.0	6.0	3.0	4.0	2.0869485045685128	0.24150237713855194	0.2496017027786957	0.24510935847727924	0.26378656160547304	1.0E-8	-1826.503518441501	-235.92084172113383
15000	-3264.4515575651003	-1447.576313452284	-1816.875244112816	486286.7743278048	331824.2687605245	175043.13227709307	214151.21262778295	197576.1080127248	183801.56697113806	2.0	2.0	5.0	4.0	4.0	2.0869485045685128	0.24301807378232007	0.2613728778666349	0.2359347097105992	0.25967433864044576	1.0E-8	-1816.875244112816	-228.8139823675399
20000	-3267.068190356452	-1457.9879705989388	-1809.0802197575133	335617.94317922345	203615.8690660913	734639.1323528409	680911.1668753305	437907.7279695913	216586.9423828886	2.0	6.0	3.0	4.0	2.0	3.444608132669973	0.2495389794841311	0.2689646673335044	0.2265104628065263	0.2549858903758382	1.0E-8	-1809.0802197575133	-234.24997430297893
25000	-3263.082129476061	-1459.6270188103538	-1803.455110665707	362102.19732628926	355596.4851054338	929308.3666911557	916290.2480979109	469344.97800538014	489383.07046976214	5.0	1.0	2.0	2.0	7.0	3.5437219521022256	0.2492913998290784	0.26921224698855706	0.21795171726994872	0.2635446359124158	1.0E-8	-1803.455110665707	-234.65794170871055
30000	-3250.202598726812	-1450.720392581777	-1799.482206145035	206839.30003365423	459603.4714848184	703023.1874135182	649630.1994012031	54031.89040572098	154040.51162336214	2.0	2.0	1.0	3.0	9.0	5.034161976997325	0.26505842852971684	0.26921224698855706	0.2089309987003021	0.2567983257814239	1.0E-8	-1799.482206145035	-227.33934752205138
35000	-3250.4632749674925	-1455.0989751736406	-1795.3642997938518	345548.2119803936	1901902.4073710558	1022723.8517178292	194671.20376421086	286162.6018756043	405955.2812920292	2.0	1.0	4.0	1.0	9.0	6.510234785331742	0.26505842852971684	0.26921224698855706	0.2089309987003021	0.2567983257814239	1.0E-8	-1795.3642997938518	-229.43210696561079
40000	-3251.3712878907127	-1453.8627184104844	-1797.5085694802285	151452.4663044881	414464.4841380063	637388.8819441648	379525.1300515582	89436.01814122396	37365.42084264095	3.0	6.0	1.0	4.0	3.0	6.851426366360931	0.2713742016723314	0.27571762065406497	0.19610985189217964	0.2567983257814239	1.0E-8	-1797.5085694802285	-232.9608387479215
45000	-3241.178812802476	-1455.1140028251666	-1786.0648099773093	239071.09653500826	706949.8590634036	744432.3566374988	739512.9357347593	151600.78021305808	118011.2157371953	4.0	1.0	3.0	8.0	1.0	9.344593688863284	0.2747848561656713	0.28288628267661886	0.1803730958837838	0.261955765273926	1.0E-8	-1786.0648099773093	-231.02625701604927
50000	-3235.98170113965	-1447.3446441812396	-1788.6370569584103	305056.20160880976	145982.92240110878	352280.5287992294	242192.72273746773	204893.4856009415	185930.69789081125	1.0	5.0	6.0	4.0	1.0	6.105406372254382	0.28320028514786955	0.2677666266654949	0.1803730958837838	0.2686599923028517	1.0E-8	-1788.6370569584103	-226.85480273919867
55000	-3245.649188962358	-1456.5893967186873	-1789.0597922436707	356072.54548662907	233158.66132367728	614012.1085187928	514999.0832344753	335282.6024774706	206784.2812141102	5.0	6.0	1.0	3.0	2.0	5.722286187546419	0.29131423674552204	0.2677666266654949	0.1803730958837838	0.2605460407051992	1.0E-8	-1789.0597922436707	-233.57174686794713
60000	-3230.655403321361	-1446.3269417861413	-1784.3284615352197	424491.0400012392	82809.45289775832	79598.81133668513	198552.56831309406	154122.60791488385	155070.87530978938	2.0	1.0	5.0	7.0	2.0	7.753710138934608	0.29131423674552204	0.2680574795780076	0.17298656502378507	0.26764171865268527	1.0E-8	-1784.3284615352197	-228.1768788939797
65000	-3224.233412595584	-1444.6332797059108	-1779.600132889673	245436.46643780277	151438.21533495196	142344.22672710504	220177.41680483613	201070.1196057534	50735.56997299506	3.0	7.0	1.0	5.0	1.0	13.314402952359435	0.29131423674552204	0.2662357071139466	0.15919796680805975	0.28325208933247153	1.0E-8	-1779.600132889673	-224.9142276749007
70000	-3228.9636187214746	-1440.4773507781729	-1788.4862679433015	127665.19755451738	151261.3465423074	633336.877891364	55486.555437121904	179831.44287030317	1488.612891293013	1.0	5.0	5.0	5.0	1.0	13.314402952359435	0.2990524704456673	0.26970974194991476	0.1503616377459559	0.28087614985846204	1.0E-8	-1788.4862679433015	-216.8861833675435
75000	-3240.275260438757	-1457.7203333205896	-1782.5549271181674	261717.53960994372	2177964.037138239	547133.4044081036	192443.4294079792	278685.57012333605	98412.67321119831	1.0	9.0	1.0	3.0	3.0	17.427952106151004	0.30077701849683985	0.2779786333071175	0.1503616377459559	0.27088271045008677	1.0E-8	-1782.5549271181674	-231.81298226572116
80000	-3236.8724676147103	-1455.7122592415717	-1781.1602083731384	377094.9946205324	191887.01012363346	273111.29186064284	99167.95700521363	255563.95221579555	165214.13828456347	1.0	4.0	2.0	2.0	8.0	25.28745443685262	0.27680157516209625	0.27796354029824866	0.17403758776902784	0.27119729677062726	1.0E-8	-1781.1602083731384	-232.64284964148518
85000	-3221.7768074788855	-1439.3180187396013	-1782.458788739284	211930.02194345073	127424.57906011425	110094.57757613252	134759.48142804252	264326.5552397141	92586.02606631911	5.0	2.0	4.0	1.0	5.0	17.45228721581973	0.2701194145068811	0.28298011012069296	0.17570317860179865	0.27119729677062726	1.0E-8	-1782.458788739284	-219.10186287152504
90000	-3221.2502846845273	-1441.9700237733884	-1779.2802609111386	259729.30857102555	23601.14149135756	47546.77429355795	190616.15919219056	583793.2698819285	1196562.9257898116	8.0	1.0	5.0	2.0	1.0	13.345380300728447	0.2701194145068811	0.28298011012069296	0.1691759334935282	0.2777245418788977	1.0E-8	-1779.2802609111386	-218.65523323312675
