	Bayesian Skyline: D_bernieri_mt_1.log			
Time	Mean	Median	Upper	Lower
0.0	786617.5836519037	404017.7302494747	3587112.1515256274	50506.95601811741
1299.1557188521274	786737.0805604808	409434.3375094872	3524005.449735275	71567.98224596478
2598.311437704255	784445.8378665367	416145.1569425246	3475906.3658911954	84665.02531319836
3897.467156556382	781432.7380175084	419381.6892005964	3442192.907304691	92405.83330835747
5196.62287540851	773330.4909934918	419243.554735965	3393998.8542698803	96312.04220631009
6495.778594260637	764383.4107717231	418285.95448359294	3332260.7759516174	100157.3508358052
7794.934313112764	756497.4127610426	418407.5377020496	3270628.018352387	101356.86173368843
9094.090031964892	744459.6833898006	414921.070874806	3195593.859090155	103040.36504798797
10393.24575081702	731841.3227284846	408998.5708292336	3048663.5932889297	103786.51028533245
11692.401469669147	719935.3425256895	403605.5015237512	2994489.1071136477	102229.4698676064
12991.557188521274	705297.888350234	397971.82805667253	2912459.7703343243	100965.57737047914
14290.712907373401	692573.2234992931	395421.6947733711	2841182.187225908	100157.2195174114
15589.868626225529	681946.5480014884	389616.7917056156	2827169.420147719	99843.41505920599
16889.024345077654	666291.5091520643	383253.7887155893	2791398.9169722428	98812.08245912542
18188.18006392978	647604.7715029826	376372.9127587121	2650819.6317991796	99292.71947290366
19487.335782781905	636891.5255153186	370585.16425381054	2596843.890500902	98048.1670978697
20786.49150163403	626630.9628735703	364800.4077852657	2550591.3029562286	97747.83803962622
22085.647220486157	608104.04013324	357648.85541747673	2437057.252048517	94570.41241899805
23384.802939338282	593954.8009963001	353940.4537523006	2354179.8376990017	94363.77541298386
24683.958658190408	582383.1567245332	349153.91087269	2307857.306017266	93644.53325581607
25983.114377042533	571964.7490498312	344004.91501428245	2228245.909938632	90440.75254388397
27282.27009589466	563276.5712255104	339219.6827541272	2204587.2206290592	90440.75254388397
28581.425814746784	548151.938904591	336213.63675300457	2083842.4906123548	90256.09418959517
29880.58153359891	532630.1006363962	330947.57191284787	2009420.129579392	88961.3780781544
31179.737252451036	521173.1966227433	327407.6376917286	1891703.3779019883	87725.205448664
