# BEAST v1.8.2, r6687
# Generated Thu Jan 17 13:57:45 EST 2019 [seed=1547751464938]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
0	-3105.0223656373955	-1369.438321711956	-1735.5840439254396	88.29254584772987	1400000.0	1400000.0	1400000.0	1400000.0	1400000.0	2.0	2.0	2.0	2.0	2.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0E-8	-1735.5840439254396	-141.52050120803142
5000	-3015.695295674046	-1333.5732630987757	-1682.1220325752706	38024.08542957073	104174.48996993757	127255.72820179632	177749.60452033422	245393.1499683987	20591.002757782197	4.0	1.0	1.0	1.0	3.0	2.326582127668509	0.23721170844464795	0.2662242310373104	0.23553773072524598	0.2610263297927957	1.0E-8	-1682.1220325752706	-116.84332017530504
10000	-2993.7163018012566	-1317.1755960011133	-1676.5407058001433	14887.929110142399	54063.55393358789	54080.24114816689	36682.95676874835	15347.782260379978	2677.7923010953277	1.0	4.0	2.0	1.0	2.0	3.8393729661300435	0.2531636978237604	0.2615581886627503	0.22374004942372144	0.2615380640897678	1.0E-8	-1676.5407058001433	-108.24317403765602
15000	-3003.6036186492074	-1327.5279271153538	-1676.0756915338534	44996.31164712275	87027.89466688775	61196.74986627162	36744.86074433104	19452.92556351789	10113.07215345816	5.0	1.0	1.0	1.0	2.0	5.2962997243919006	0.2488459467149228	0.27391655925219877	0.22374004942372144	0.25349744460915696	1.0E-8	-1676.0756915338534	-116.77369533209165
20000	-3022.4020446335335	-1344.7197594773145	-1677.6822851562188	102338.08156310076	450123.0069160002	136015.10727187298	140529.3940773639	180065.19411749375	58237.07033111778	3.0	1.0	1.0	1.0	4.0	4.873878926157632	0.2488459467149228	0.27391655925219877	0.22374004942372144	0.25349744460915696	1.0E-8	-1677.6822851562188	-125.84270446112615
25000	-3011.693555904046	-1336.357263650846	-1675.3362922532	69778.89988092275	1273978.2788574125	236865.4994726259	87817.87090661158	11109.468174891246	14604.482942957358	1.0	3.0	2.0	1.0	3.0	3.6724473801867314	0.23994858828963955	0.27827094176999934	0.21983719349271905	0.261943276447642	1.0E-8	-1675.3362922532	-119.40590112441603
30000	-3008.3670786846465	-1332.3838137713246	-1675.9832649133218	61866.30731549452	122739.47863044745	77112.56464513236	69663.3884414555	21194.596915370345	3237.5375982511077	3.0	2.0	3.0	1.0	1.0	4.254966889091029	0.23994858828963955	0.27827094176999934	0.21983719349271905	0.261943276447642	1.0E-8	-1675.9832649133218	-120.64659933189192
35000	-3010.757850053542	-1340.0037633787572	-1670.7540866747847	22190.955477035244	1448786.0922237935	119011.24734829162	56313.10278957313	93220.85096961845	93082.01751388257	1.0	2.0	2.0	1.0	4.0	3.9047381655081383	0.2495244839934295	0.27284242951678317	0.2102612977889291	0.26737178870085815	1.0E-8	-1670.7540866747847	-120.51487679268836
40000	-2996.9590174047917	-1328.871455307362	-1668.0875620974296	48552.057217304064	20856.37525938193	55800.31479746091	20698.296575582302	37764.3389529734	52850.4461319774	4.0	2.0	2.0	1.0	1.0	4.85130427579333	0.25642537964390444	0.26754258600855857	0.20597222198992127	0.27005981235761567	1.0E-8	-1668.0875620974296	-117.18253262713424
45000	-2999.5441559309465	-1329.2926598832425	-1670.251496047704	87967.84881845844	70540.06997903527	60068.02935321892	61285.26641087733	15025.094360431787	23197.595276753604	1.0	5.0	2.0	1.0	1.0	3.246781396758992	0.25642537964390444	0.2626383110254095	0.20597222198992127	0.2749640873407647	1.0E-8	-1670.251496047704	-118.03749024671986
50000	-2976.0822387467692	-1313.2000638641277	-1662.8821748826415	16970.928941092454	128023.37418947181	5974.977903755437	4007.1375682224475	7935.849279981083	19852.601530436346	1.0	2.0	1.0	3.0	3.0	2.415168233116876	0.24970097229394447	0.2699599315228317	0.19310363908797382	0.28723545709525	1.0E-8	-1662.8821748826415	-105.18955516221656
55000	-2969.726444898014	-1306.7066517128528	-1663.0197931851615	7797.14499187457	57293.94415566904	32949.4141995305	10948.996683864356	6233.684835349092	728.2111218637193	3.0	1.0	2.0	3.0	1.0	2.028467008135805	0.24970097229394447	0.2699599315228317	0.1905994969086198	0.289739599274604	1.0E-8	-1663.0197931851615	-101.59041994315504
60000	-2973.234601409467	-1314.4726752783645	-1658.7619261311024	12624.77305462182	39264.660404457434	59613.4700611192	10184.409791402986	8739.238363416885	942.8855442768794	1.0	2.0	5.0	1.0	1.0	4.114100360133086	0.25262750867264233	0.28646777134595075	0.18080112121867215	0.2801035987627348	1.0E-8	-1658.7619261311024	-107.4576006661785
65000	-2963.2797647509974	-1305.849387388658	-1657.4303773623394	32239.97578941139	21685.556042694574	11229.363600830568	7661.806443389587	7973.670972319187	8526.209878714031	2.0	1.0	2.0	2.0	3.0	4.993790325706289	0.25405731677219906	0.27348854328275923	0.18080112121867215	0.29165301872636956	1.0E-8	-1657.4303773623394	-101.15507393395772
70000	-2956.3172997505053	-1299.0034070715453	-1657.31389267896	16434.42787729985	3407.1788362482157	9260.201873399761	36455.8697045208	539.3694021446338	181.89013334771758	2.0	3.0	3.0	1.0	1.0	7.4512072743439175	0.26749052031797677	0.26797750802002207	0.17287895293563163	0.29165301872636956	1.0E-8	-1657.31389267896	-95.03329397766197
75000	-2967.005945142436	-1309.3372468291502	-1657.6686983132859	10110.798733677542	27830.492998822574	15635.557985941785	8145.72663119383	7149.271608467999	601.7887937256538	2.0	3.0	1.0	3.0	1.0	16.496420566982913	0.2676380430870003	0.26797750802002207	0.17273143016660814	0.29165301872636956	1.0E-8	-1657.6686983132859	-103.00932319856886
80000	-2959.328618296443	-1300.8382972812046	-1658.4903210152384	3840.7762986558814	6129.632534971608	30824.940010516566	9970.837648423836	4225.936552757853	132.27148509608122	1.0	4.0	1.0	2.0	2.0	19.21666896228517	0.2676380430870003	0.26797750802002207	0.17188995296869408	0.2924944959242836	1.0E-8	-1658.4903210152384	-93.08215736281187
85000	-2949.243940670889	-1292.6852779418825	-1656.5586627290065	10476.612114402395	2994.2151654077006	2656.0957217366763	514.0417885151219	3295.186871844611	2113.2304912347863	2.0	3.0	1.0	2.0	2.0	15.425763957543545	0.2742766860925976	0.26607886947446185	0.17188995296869408	0.2877544914642465	1.0E-8	-1656.5586627290065	-90.18190888039688
90000	-2947.6053103042877	-1290.8183224802533	-1656.7869878240344	9598.552318510327	3585.7813102871414	1601.5742355246823	1536.0574891675865	3822.858391041592	5639.175225577036	1.0	3.0	2.0	1.0	3.0	19.92822241711924	0.2809657715063981	0.27590233719920626	0.16520086755489358	0.27793102373950207	1.0E-8	-1656.7869878240344	-89.4180630567998
95000	-2939.026413322046	-1282.373999728805	-1656.652413593241	5034.724070329706	4455.963900176011	793.8306737132565	2485.8835577632167	1673.9795780176962	2378.4369173365385	1.0	4.0	1.0	1.0	3.0	19.77224333323271	0.27315717818768376	0.28132178046864065	0.16520086755489358	0.28032017378878205	1.0E-8	-1656.652413593241	-81.56904987241111
100000	-2964.972320017436	-1309.7435145680915	-1655.228805449344	6848.534292635991	7606.154331589316	19386.83421521719	8217.120405009537	974.8800972702621	504.34986778009056	1.0	2.0	4.0	1.0	2.0	18.576481527602304	0.27598628794103836	0.2802567653251978	0.1619819837023038	0.2817749630314601	1.0E-8	-1655.228805449344	-105.95427379128195
105000	-2957.675266928035	-1298.340202204346	-1659.335064723689	4267.517221105556	9551.321849091193	16946.55987736896	5063.722576736338	852.3696881654711	1592.8474951472251	3.0	1.0	1.0	2.0	3.0	19.928019416266213	0.2572552997096862	0.29256752196826574	0.1619819837023038	0.2881951946197443	1.0E-8	-1659.335064723689	-94.18881168764165
110000	-2953.1066759982114	-1297.6223520758383	-1655.484323922373	5099.997616497733	4535.739167011526	4225.747897365781	12660.72750006225	1614.9063394404911	1664.349628978244	2.0	2.0	2.0	3.0	1.0	23.331985743845607	0.2610298375732922	0.2901519341311292	0.15855155745600644	0.29026667083957214	1.0E-8	-1655.484323922373	-93.45129158770993
