	Bayesian Skyline: D_quadrilineatus_mt_1.log			
Time	Mean	Median	Upper	Lower
0.0	50993.72332986996	15324.066750841936	318634.01922287367	289.0401754230601
686.3074580380691	51037.56612686194	16659.48634209409	313303.5580910537	720.0396227606744
1372.6149160761381	50212.604356471275	16874.66315351282	305870.41943367064	837.10530397098
2058.9223741142073	49966.929028125	17208.62754122639	303438.3847148635	1051.6169131147017
2745.2298321522762	48452.85684962395	17586.30851321118	296023.39408732177	1207.0866826299327
3431.537290190345	46752.40670812	17601.870756951645	290190.8147356749	1396.2061856885182
4117.844748228415	45792.62689225908	17488.81029107384	279808.3430846208	1397.716100884308
4804.1522062664835	45150.85132641209	17780.49741569576	267227.9751414494	1556.1642942579044
5490.4596643045525	44413.25271815007	18136.097144776904	257277.6500355364	1696.276726356111
6176.767122342621	44433.24871739837	18229.77747752436	263798.84037107544	1743.611285238986
6863.07458038069	43813.523929741794	18396.303730220305	253156.30827718505	1772.7519261421514
7549.382038418759	43067.797169403115	18506.713884860914	246319.718322919	2025.371005544632
8235.68949645683	42758.05487932287	18620.735107707653	237253.13304544621	2090.4537234758373
8921.996954494898	43068.16036005757	19073.723427355075	237224.5198442973	2224.6843953197204
9608.304412532967	43225.59067252774	19334.47717474164	229836.3382517681	2461.5068514735626
10294.611870571036	43295.07820853861	19560.06323969159	226957.18421256234	2505.0257204498625
10980.919328609105	43041.17639916135	19668.900819029637	220063.61096040034	2596.823015899724
11667.226786647174	42596.181576996765	19822.41476993536	216428.45584489233	2661.97098173391
12353.534244685243	42407.25715676382	20360.51335654693	211821.10144044322	2693.0841006153382
13039.841702723312	42275.38480765774	20471.599419357703	211821.10144044322	2824.707265619592
13726.14916076138	42453.43784607391	21014.185203861634	201935.886347292	3185.5017358020764
14412.45661879945	42319.438197099975	21452.646897046423	199669.6032261933	3226.7294040053425
15098.764076837519	42007.82778446375	21632.370160544	196022.31266213363	3287.6380218665104
15785.071534875588	42140.89627227418	21883.551276498587	190345.8840413949	3377.092373080372
16471.37899291366	41822.972549747465	22144.943897815567	187348.90548536225	3701.0422396999807
17157.68645095173	42105.8267849124	22348.321793844294	188638.4100097782	3849.3297127449196
17843.9939089898	42556.03652344539	22634.092072203148	193278.45894609866	3870.486889876816
18530.30136702787	42525.27673242745	22863.905292444197	188638.4100097782	3922.971175554437
19216.60882506594	41883.87784170126	23260.228546581537	182693.94088490462	4028.860882408014
19902.916283104012	42467.29978723546	23541.110058959588	183200.2314780748	4132.743022207329
20589.223741142083	42638.20928896622	23823.9213163488	182699.5167582763	4150.322908490118
21275.531199180154	42821.834758536446	24233.107233967778	185241.46017491273	4094.3730573613657
21961.838657218224	43083.519514870495	24454.360013033453	186650.93535315798	4354.757432763586
22648.146115256295	43112.50463935967	24678.4525242985	185241.46017491273	4498.649755375281
23334.453573294366	42907.92929909833	24681.085796947373	182699.5167582763	4415.662519053502
24020.761031332437	43354.98953391886	25021.467730175304	185241.46017491273	4457.678260382581
24707.068489370507	43220.04779960362	25184.80877696078	182471.835682965	4415.023814876816
25393.37594740858	43494.68834064108	25730.581575863256	182699.5167582763	4830.021932073819
26079.68340544665	42990.8402924943	26250.14045885601	178276.69725051345	4838.568553987172
26765.99086348472	43010.06981103957	26440.540585988103	174928.75823653446	4724.844394544578
27452.29832152279	43094.05254087135	26563.75427564303	174928.75823653446	4838.568553987172
28138.60577956086	43272.620100953776	26680.59257211303	178276.69725051345	4883.183333461006
28824.913237598932	43667.129840125184	27090.968989288856	182693.94088490462	4989.335586428535
29511.220695637003	44020.41491570831	27309.07987129509	183200.2314780748	5031.380755081974
30197.528153675074	44247.012196942385	27691.836107459687	182693.94088490462	5072.237312130032
30883.835611713144	44682.03744130772	27861.32487482225	183200.2314780748	5440.534328905129
31570.143069751215	45025.28377621337	28114.263815270922	183200.2314780748	5239.947706696832
32256.450527789286	45373.22032249994	28313.451674713444	183200.2314780748	5771.494084646019
32942.75798582735	45938.01989491665	28926.19079588386	186650.93535315798	5701.17718904987
33629.065443865424	45757.96087171051	29231.026551342457	185241.46017491273	6186.800603454354
34315.372901903494	46768.02920105628	29772.576075320903	186650.93535315798	6353.54311157584
35001.680359941565	46795.938744998675	29934.552181295046	182699.5167582763	6353.54311157584
35687.987817979636	46909.25669457162	29991.199883031928	185241.46017491273	6321.7685994086305
36374.29527601771	46923.89162876687	30292.623285916125	182986.44613357095	6526.074483398534
37060.60273405578	47508.24774777704	30292.623285916125	185241.46017491273	6707.311492146547
37746.91019209385	47886.58495138623	30487.07854694888	186650.93535315798	6644.636478374551
38433.21765013192	47928.516069344165	30902.3280940858	185241.46017491273	6905.722940520982
39119.52510816999	48371.23917322186	31378.936257314992	182986.44613357095	6887.274572964061
39805.83256620806	48568.55392400843	31400.04550291885	182699.5167582763	6905.722940520982
40492.14002424613	48864.89003464259	31676.619755820706	182986.44613357095	6986.127128706994
41178.4474822842	49177.90266403032	31837.352284108096	182986.44613357095	6986.127128706994
41864.75494032227	49593.32752596943	32164.84848845097	183321.23987245164	7070.489711887981
42551.062398360344	49764.7045793796	31868.791805455046	185241.46017491273	6887.274572964061
43237.369856398414	50624.3509205094	32338.02037502363	188638.4100097782	6707.311492146547
43923.677314436485	50622.579407525904	32789.588841794706	188638.4100097782	7070.489711887981
44609.984772474556	50664.35958894984	32877.95081953868	188638.4100097782	6743.998023267241
