# BEAST v1.8.2, r6687
# Generated Thu Jan 17 14:05:14 EST 2019 [seed=1547751913963]
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	skyline
0	-3446.4802532979493	-1454.3509334977443	-1992.129319800205	171.84287259717084	1400000.0	1400000.0	1400000.0	1400000.0	1400000.0	4.0	3.0	3.0	3.0	3.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0E-8	-1992.129319800205	-226.43311299381975
5000	-3205.2894769391987	-1438.4570355321423	-1766.8324414070564	581936.1620427497	341357.8477316585	101676.58620232111	138357.9100254949	378333.5653615816	660826.9858277814	3.0	7.0	4.0	1.0	1.0	3.658220944271906	0.24801586265448977	0.2558600472649139	0.21788038469135879	0.2782437053892375	1.0E-8	-1766.8324414070564	-216.86539350528054
10000	-3197.574616918235	-1433.7510211343256	-1763.8235957839095	161170.46735410576	1334106.0341379233	219299.91323432224	237942.73672785301	47966.695174385	116499.03670236762	1.0	4.0	7.0	1.0	3.0	3.3109617896391503	0.252832905220951	0.25930336223363437	0.21624096803775117	0.27162276450766343	1.0E-8	-1763.8235957839095	-212.56318981035992
15000	-3209.355095695553	-1439.2960246359592	-1770.0590710595936	426521.1319330254	492874.2622026732	462689.0534037902	132541.88646044472	217294.17400616314	271520.75431951554	2.0	7.0	1.0	3.0	3.0	1.9586641456332456	0.252832905220951	0.2633822293301623	0.21624096803775117	0.2675438974111355	1.0E-8	-1770.0590710595936	-218.69606272581694
20000	-3201.674085734501	-1437.2012912519135	-1764.472794482588	378792.04157575767	381028.3367119091	255394.23617873588	520235.571951688	554956.814029815	601143.7624427692	10.0	3.0	1.0	1.0	1.0	2.6053929772462925	0.24913364057453788	0.27288588587140217	0.20563114454280781	0.2723493290112521	1.0E-8	-1764.472794482588	-214.41076505043443
25000	-3181.9268981612804	-1423.2413189668018	-1758.6855791944786	201377.45116672505	1757202.303215769	581150.1085814538	73866.95899505207	45911.83600817872	119932.85881683469	1.0	5.0	7.0	1.0	2.0	1.777720454440826	0.2527444206182615	0.2663322617648071	0.20563114454280781	0.27529217307412346	1.0E-8	-1758.6855791944786	-202.50629842379757
30000	-3196.4962656772586	-1432.87389154967	-1763.6223741275885	144777.09772599017	1437545.329810511	299619.3129897506	149210.31128426452	173774.61184435434	12685.6161413982	3.0	4.0	1.0	6.0	2.0	2.1413734648802953	0.26968037744641893	0.24939630493664972	0.20563114454280781	0.27529217307412346	1.0E-8	-1763.6223741275885	-212.76976254878687
35000	-3182.4646767826093	-1420.4403877608704	-1762.024289021739	114624.61593262224	1189151.8139176613	471663.6653561311	979471.3498312874	17852.46636258534	8585.3288130394	1.0	8.0	1.0	1.0	5.0	2.2766310448832363	0.27575217213843406	0.24359923916383402	0.2033911886486568	0.277257400049075	1.0E-8	-1762.024289021739	-199.57441379041438
40000	-3198.4536433192093	-1432.2599735962983	-1766.193669722911	168681.13308935624	1025609.9239667275	1093203.8901470092	834374.480546581	33579.2003833884	40429.111108977486	2.0	5.0	1.0	3.0	5.0	1.642481962439794	0.282331807675373	0.241231438036093	0.2033911886486568	0.2730455656398771	1.0E-8	-1766.193669722911	-210.5322182538555
45000	-3177.0462863056155	-1418.0234453698781	-1759.0228409357371	205918.59810769337	191862.40011884793	305036.604907068	165977.3862642571	9183.179178622582	33893.26429763014	2.0	2.0	7.0	1.0	4.0	1.7845175594299736	0.28775685367102466	0.2526120329054234	0.19440757974152384	0.265223533682028	1.0E-8	-1759.0228409357371	-200.97088036649336
50000	-3172.1970321730314	-1421.0100293510586	-1751.1870028219726	174690.9893560606	695320.2890072522	136322.22933790856	131277.3497111666	57889.32815867181	68862.90172830659	2.0	2.0	2.0	4.0	6.0	2.346474041692171	0.28652725767642245	0.25938317587721454	0.1814709962112765	0.2726185702350864	1.0E-8	-1751.1870028219726	-203.44759505567225
55000	-3164.8864985845325	-1415.903636515254	-1748.9828620692786	199310.25589563893	137763.0957075036	84265.02574941814	25537.65236405232	42149.143402672504	90965.85551340615	7.0	1.0	2.0	4.0	2.0	2.4828072577386786	0.2831344587597494	0.26193659401266245	0.17422449636814563	0.2807044508594424	1.0E-8	-1748.9828620692786	-202.02841806702858
60000	-3176.717095715909	-1431.1881545433534	-1745.5289411725557	294034.4622810542	1016934.1491127526	183913.06917482952	66145.042586675	103749.032452203	60124.75914597229	3.0	6.0	2.0	3.0	2.0	4.238641660811809	0.27506358637010675	0.2653108967965955	0.16307978466661802	0.2965457321666797	1.0E-8	-1745.5289411725557	-212.12143732016062
65000	-3165.9105563474504	-1416.409028972806	-1749.5015273746446	179988.32024599993	378527.81784881925	48954.124927430705	19365.07244182488	50716.37068421767	60327.85828447426	6.0	2.0	1.0	5.0	2.0	5.879127774259621	0.2693726651268039	0.2653108967965955	0.17532099546310195	0.28999544261349863	1.0E-8	-1749.5015273746446	-200.48723116218525
70000	-3172.5723349021937	-1423.7342525963115	-1748.8380823058822	185863.768526795	1787057.797205234	110970.82891504439	96555.83407342223	39102.96312186665	70237.65011172362	3.0	1.0	1.0	8.0	3.0	8.313123941115236	0.2663252284176764	0.27078403132572265	0.1698478609339748	0.2930428793226261	1.0E-8	-1748.8380823058822	-203.18751649769953
75000	-3179.1479243388567	-1430.3461341026384	-1748.8017902362185	422581.5012822361	310681.4327401102	222089.4556137996	301437.729579846	195915.9140424687	94651.16393474884	5.0	1.0	2.0	2.0	6.0	2.901315042520268	0.2709912965219005	0.26539407888818756	0.1690593388361266	0.2945552857537853	1.0E-8	-1748.8017902362185	-211.23415425036546
80000	-3182.957588790455	-1433.4006908617923	-1749.5568979286627	160182.98386366913	685749.204003741	317519.58687673276	687624.932971851	138201.11574811113	66763.10262679003	3.0	2.0	3.0	2.0	6.0	4.109713324140534	0.27625618538271396	0.26539407888818756	0.1690593388361266	0.28929039689297187	1.0E-8	-1749.5568979286627	-211.36303025845035
85000	-3168.0994660123424	-1415.0560404123514	-1753.0434255999908	51890.72486055756	928347.7922840886	1014019.6794054982	32693.850195385003	92664.30419659046	1490.1745566752077	1.0	3.0	2.0	8.0	2.0	5.777355300616776	0.26438595840696044	0.2714351279859309	0.15478876799818028	0.30939014560892836	1.0E-8	-1753.0434255999908	-193.56721822572882
90000	-3170.1270153584355	-1419.9257262471867	-1750.2012891112486	90292.87371066642	639371.570097907	92047.60330564658	138102.6897137561	247960.46357028518	1519.681432077876	3.0	4.0	5.0	1.0	3.0	2.9185553828243056	0.2641574344523332	0.27627994372346637	0.14949325348781645	0.31006936833638404	1.0E-8	-1750.2012891112486	-200.54915785834513
95000	-3183.905210046538	-1439.3330936924363	-1744.5721163541014	201604.71166441485	1280592.4762786068	1243716.046892528	134776.59622999054	52429.608796374145	36566.27463427437	4.0	2.0	5.0	2.0	3.0	3.9963228549045944	0.2699305407115705	0.27627994372346637	0.15636475394973992	0.29742476161522324	1.0E-8	-1744.5721163541014	-218.461667947219
100000	-3171.4305043416853	-1424.4235550530916	-1747.0069492885934	308509.3893037739	342374.4253927419	413746.6357902005	104073.61901573023	66691.6729378551	67230.58911112342	6.0	2.0	1.0	3.0	4.0	5.187341390260064	0.2687172098290057	0.27734551829961235	0.15636475394973992	0.2975725179216421	1.0E-8	-1747.0069492885934	-206.01915869125702
105000	-3172.5793078444676	-1424.728765580363	-1747.8505422641044	385406.06446284684	145383.2780692195	173219.2650671332	300010.918895754	28364.8717983083	165703.0157070911	9.0	4.0	1.0	1.0	1.0	2.745659576798315	0.2746118483796805	0.27022728858060063	0.15758834511807684	0.2975725179216421	1.0E-8	-1747.8505422641044	-203.7232080582061
110000	-3170.1939769005476	-1422.2750700855786	-1747.918906814969	176464.49211905128	124744.27310059637	189993.83988359483	427452.217888651	13642.86027677318	18344.52435112677	2.0	2.0	7.0	4.0	1.0	3.3854038677655858	0.26872117143766516	0.27189032235513116	0.1590452873091276	0.30034321889807614	1.0E-8	-1747.918906814969	-205.34676654612662
115000	-3170.7786858453637	-1424.0299420370434	-1746.7487438083203	100231.4934374058	1356201.0925084527	894765.9546073773	19709.71812599121	33448.325071215724	26751.813457429987	4.0	3.0	1.0	2.0	6.0	4.4544008831658095	0.2765158486458044	0.2640956451469919	0.1466611771851185	0.3127273290220852	1.0E-8	-1746.7487438083203	-204.5933961914351
120000	-3183.037283009188	-1436.2498420931033	-1746.7874409160845	199338.8308114952	488326.5360681242	496621.2865074109	460599.0219602454	37083.89899266364	82438.60966168498	4.0	6.0	1.0	4.0	1.0	5.6811800352511606	0.2833271823365285	0.2635848017475678	0.14036068689381856	0.3127273290220852	1.0E-8	-1746.7874409160845	-214.78188852600752
125000	-3180.7368470758543	-1437.377633144111	-1743.3592139317432	235681.21545559634	648075.4277769488	327301.5586532642	136520.75759231858	170894.4811145395	352496.94407052785	3.0	1.0	8.0	1.0	3.0	7.638658493634216	0.2774742215754734	0.27601828179038623	0.14036068689381856	0.3061468097403219	1.0E-8	-1743.3592139317432	-214.9963832843829
130000	-3175.35426361895	-1428.554610555886	-1746.799653063064	91573.98369033453	1150393.338228465	435485.2722251743	87592.10957976233	47756.701914675235	101471.45090092736	6.0	1.0	6.0	2.0	1.0	7.456339323218171	0.2801231011743156	0.2676734318726902	0.1391006448602473	0.3131028220927469	1.0E-8	-1746.799653063064	-207.4856582212491
135000	-3195.2924342656015	-1445.4448075244454	-1749.847626741156	254530.8658438044	1534955.3525187739	709518.6975879521	906216.4766902295	149705.00437966659	99131.28228754396	2.0	1.0	7.0	4.0	2.0	7.785744279000376	0.2810187872764327	0.2703309935493314	0.135547397081489	0.3131028220927469	1.0E-8	-1749.847626741156	-220.44287670510346
140000	-3178.7912328901502	-1434.3434304246318	-1744.4478024655184	245049.27700427154	1195910.6249363492	463280.3093058549	315878.40765981254	60337.41921034773	34180.07450592331	2.0	4.0	1.0	7.0	2.0	7.855607546203023	0.2711980166783366	0.27261631516607415	0.14308284606284236	0.3131028220927469	1.0E-8	-1744.4478024655184	-212.95473006242437
145000	-3172.7577815190616	-1428.27723021873	-1744.4805513003319	204898.45266768098	36321.83392381745	103768.5418345292	113069.63678875747	96564.13978789166	245173.1315307462	1.0	1.0	9.0	3.0	2.0	8.56841260266695	0.2711980166783366	0.2759037605422966	0.14207342593890365	0.3108247968404632	1.0E-8	-1744.4805513003319	-210.26919809850216
150000	-3172.975089984486	-1428.5081771302182	-1744.466912854268	90693.47265763044	191876.16271723254	491019.74539529695	534471.9130096516	126181.4247886416	35916.12982677472	1.0	6.0	4.0	2.0	3.0	8.801867829981134	0.2941003851794323	0.2699821048976245	0.14207342593890365	0.2938440839840396	1.0E-8	-1744.466912854268	-206.92058692678867
155000	-3189.4658904934167	-1440.2116180147273	-1749.2542724786897	249336.35487733738	406291.061429656	639470.5426639685	568890.7530231142	125591.72420761306	90232.31138669627	5.0	2.0	1.0	2.0	6.0	13.738966600351043	0.285858410781787	0.2840952425189233	0.1444807692267863	0.28556557747250344	1.0E-8	-1749.2542724786897	-216.72364578127545
160000	-3185.6050865263305	-1439.32755824862	-1746.2775282777106	211987.19933542665	285311.7150588435	606902.8340173115	990590.5922611192	96519.7461455688	46811.59221813953	8.0	3.0	1.0	2.0	2.0	10.093048420771076	0.285858410781787	0.2788691724075714	0.14583149405949927	0.28944092275114236	1.0E-8	-1746.2775282777106	-215.96622768066524
165000	-3177.892289198893	-1427.6252263660624	-1750.267062832831	106576.39667495413	1030291.2265013552	273614.11846128345	117020.7404611207	26124.255769896034	22757.66773621498	1.0	5.0	5.0	4.0	1.0	8.24372361084403	0.2920853977165824	0.2611928514980179	0.1366874862364678	0.31003426454893196	1.0E-8	-1750.267062832831	-208.8487272109094
