	Bayesian Skyline: L_madagascariensis_mt_3.log			
Time	Mean	Median	Upper	Lower
0.0	1415324.856456696	750408.1300044103	6479946.320855491	108565.12814125446
4557.479944478858	1391102.8760985208	751286.4022178841	6347306.401873543	150663.50451508764
9114.959888957716	1350463.9367067472	741587.6463211727	6130264.601014335	144138.97912611623
13672.439833436572	1297301.915115671	719978.3249549199	5973887.317864405	126377.72678887569
18229.91977791543	1229258.3176312842	680048.2238477173	5722584.908522004	97837.83881702561
22787.39972239429	1139813.589646726	630486.6107935306	5307125.213205496	75411.23297354513
27344.87966687315	1057710.2430346538	573940.6953952975	4896211.152493038	58545.851263243865
31902.359611352007	962290.3899299236	503806.8746926624	4279576.908448415	50549.53432555291
36459.83955583086	867441.0386871716	436628.2499156837	3941737.9188031596	41009.5730546109
41017.31950030972	778251.7085252487	369673.9944043799	3589382.2775540613	34656.74529430091
45574.79944478858	685901.6443101921	309860.94111647806	3222190.544997932	31177.799751818067
50132.27938926744	603448.0703752907	258313.25445187735	2923497.322436496	28249.74163967085
54689.7593337463	540308.828194205	216375.86032708723	2700909.338880169	24966.01775563566
59247.239278225155	476804.58385495073	186287.87436898725	2432795.576006965	23552.477453376832
63804.719222704014	413163.70165157644	163134.26322408952	2270765.8703854186	22146.003233970878
68362.19916718287	353334.4759206117	145317.86196950785	1986588.506785863	21134.107610393916
72919.67911166172	310935.96293307433	133360.24908543093	1777177.9729595582	20792.18221399322
77477.15905614058	273881.1595982779	123888.18779611042	1513801.4183996562	20135.072452650253
82034.63900061943	248054.67292479984	117247.23535525585	1341341.0157735816	19395.416593246857
86592.11894509828	226982.69884294842	112609.83804757398	1194938.2866696082	19474.00325428688
91149.59888957713	209346.2688772142	109776.4964077756	1041246.1639120318	19097.83051281948
95707.07883405598	193237.77797352432	106643.52613593418	940728.7494763465	19013.38125033764
100264.55877853483	180316.96626965402	104485.29357544689	825621.3544555833	18883.71084306794
104822.03872301368	170401.84233408017	102593.49041443481	749458.0351448426	19163.612794047167
109379.51866749254	160464.01476194386	101570.59772231722	669063.8259110553	18929.026872235903
113936.99861197139	155788.9333816723	101245.76499168316	630312.2709496649	20129.503198123482
118494.47855645024	151398.11491049317	101019.0290617335	589787.7923307761	20453.775576492033
123051.95850092909	148084.8430347647	100305.74803840612	558387.595895784	21032.335603082818
127609.43844540794	144849.98877504762	100076.6416356853	524564.8551262474	21605.388998828155
132166.9183898868	142031.1303112804	100290.60903253469	509221.11966800224	21846.096724611918
136724.39833436566	140466.53215947136	100390.310303303	489798.6151039423	22094.10295908473
141281.87827884452	140176.0117820991	101510.00438305989	488203.51369162294	22801.712469545484
145839.3582233234	139427.40190811676	101579.32100342249	481382.11703826603	23613.56243685943
150396.83816780226	139365.10777802832	102727.9526956741	472088.04668526916	24398.116554723278
154954.31811228112	138600.70852413133	103296.50449851634	464376.14263709437	25033.23789865518
159511.79805676	138879.27880959562	103859.12241011311	461854.55150900804	25260.373710611257
164069.27800123885	139149.04329073147	104630.27055667415	459620.6465263239	25783.901626673884
168626.75794571772	139594.95747338858	106184.58532468897	453975.5105388239	26276.947109220207
173184.2378901966	140368.2618564631	107492.78327601342	453975.5105388239	28073.497998103972
177741.71783467545	141706.50552449515	109235.7061565399	456181.5156807835	29355.781448334797
182299.19777915432	142585.88484746887	110751.1082832966	453975.5105388239	29686.417516986003
186856.67772363318	143658.00160593967	112116.16578918198	456181.5156807835	30745.372815568153
191414.15766811205	145098.19364234002	113570.96421806504	458165.27559310955	32130.92419474974
195971.63761259092	147153.27800648916	115565.66917583662	459620.6465263239	33707.76771654603
200529.11755706978	148096.07900903514	116462.45558470917	460843.428486226	34187.92327159591
205086.59750154865	149933.8110208804	117981.71555986747	464376.14263709437	35204.47343620473
209644.0774460275	151533.6397788674	119569.70409644519	471319.743626433	36169.079826814974
214201.55739050638	153221.01419806457	121083.35928011326	472529.4259851293	36533.36033840952
218759.03733498525	154527.80797945595	122406.57743302868	475532.4735612831	36657.333492412065
223316.5172794641	156417.72996355186	124346.09497022249	478975.0232338441	37119.08328487976
227873.99722394298	158054.2467603396	125604.09313178233	487774.5116575024	38070.76597475352
232431.47716842184	159268.53131104342	126492.035930376	489247.78856010834	39042.0491102537
236988.9571129007	160585.4555900868	127488.33772328707	489247.78856010834	39289.616536262154
241546.43705737957	161160.38748516003	128774.29179896099	478975.0232338441	39725.744731964965
246103.91700185844	163331.3138532292	130657.4314251092	487980.27342373354	39898.332654098136
250661.3969463373	164947.05760518907	131773.3073690537	489650.8964285218	41020.26722142786
255218.87689081617	166219.4990754012	133084.57538317452	489695.8378414548	43179.58409321733
259776.35683529504	167413.9826580849	134325.7826363102	490204.45862410846	43179.58409321733
264333.8367797739	168848.44876045457	135826.5981821854	500362.8488181643	44889.056297858166
268891.3167242527	170686.51291253217	137622.35160205883	508646.04796830076	44914.723406487
273448.79666873155	171820.5264218881	139166.7220884759	499009.2668739326	45352.62961985058
278006.2766132104	172833.0143617165	140694.1355905885	499009.2668739326	45352.62961985058
282563.7565576892	174602.368797507	141745.0675239595	508646.04796830076	45822.5497170919
287121.23650216806	176364.29447853545	143480.46301657398	509206.33940707135	47501.893205054716
291678.7164466469	178283.5100455493	144960.67982982195	514541.49138597137	49237.16748446235
296236.19639112573	179709.56633592607	146104.33805345837	523391.8498844944	50371.75578569653
300793.67633560457	180293.99878580775	147140.02876337606	524564.8551262474	51321.16351598826
305351.1562800834	182109.71679637211	148621.96790037258	529012.5891027304	51537.50941575611
309908.63622456224	184716.72524044936	150867.05628629043	544966.2368635416	54073.616157747514
314466.1161690411	187290.47779552944	153893.00235995473	555380.1642356141	55588.82110691267
319023.5961135199	188437.2422603406	154534.21270441622	559657.9520553022	55113.09835584903
323581.07605799875	190874.7395651699	155935.58558779038	572210.0350070355	56376.43449954604
328138.5560024776	191642.94524076476	156644.71710449707	576840.4538346494	56713.41799945647
332696.0359469564	192658.25046428744	158151.74850029332	576840.4538346494	56383.11474635224
337253.51589143527	193468.89489469244	159384.65593777	576840.4538346494	56591.89387528655
341810.9958359141	195374.12022074594	160642.23540763473	584534.4183560921	57391.94086183499
346368.47578039294	196354.51313668283	161603.14980617413	584534.4183560921	58137.71928139467
350925.9557248718	196784.0376030951	162854.0455424089	572210.0350070355	59497.142044868575
355483.4356693506	199101.1493199523	164492.53154760346	592299.3255928305	59514.81241617483
360040.91561382945	200202.07494009496	166798.71553884132	592299.3255928305	60410.68254832686
364598.3955583083	202304.5327007962	169040.91237700995	597035.3981668019	64007.25863506447
369155.8755027871	203110.76270482116	169405.55938287423	600402.7313954814	64007.25863506447
373713.35544726596	204766.3324505621	170362.62523641373	602401.9488789497	65404.90113359793
378270.8353917448	205990.2972361867	170922.1528586902	617652.309233658	65838.99921302214
382828.31533622363	206717.80517916082	172273.40328811627	617652.309233658	65419.2426403146
387385.79528070247	209044.54635557425	173978.42979596628	640216.9642415729	66846.67053695102
391943.2752251813	209474.87701175836	174177.97818347413	617652.309233658	66846.67053695102
396500.75516966014	210706.71721792617	175969.8977981765	614216.9354571293	67828.34074263666
401058.235114139	211079.26237400758	176765.54806649365	614216.9354571293	67828.34074263666
405615.7150586178	214267.67121380966	180254.8459630579	617652.309233658	67944.92276610371
410173.19500309665	216460.4210110087	181872.9263566287	640216.9642415729	67944.92276610371
414730.6749475755	218412.44950047886	183312.44515142826	640216.9642415729	68235.30257659944
419288.1548920543	219560.71095340204	184099.34812979834	654977.7548329058	67944.92276610371
423845.63483653317	219644.267823266	184099.34812979834	654977.7548329058	70919.33519056067
428403.114781012	222889.1274940473	185509.1885162485	654977.7548329058	70919.33519056067
432960.59472549084	225247.2842536831	186095.3186375787	661120.5734573456	70919.33519056067
437518.0746699697	229063.06279424674	188839.29838278025	744176.9340658498	71897.36943781044
442075.5546144485	229981.34269848675	189966.492733348	744176.9340658498	71897.36943781044
446633.03455892735	232549.92998973394	191171.9250036781	661120.5734573456	73432.13770316207
451190.5145034062	230929.05038426223	190683.62405935887	661120.5734573456	73569.612761467
